-0.95, -0.39, -0.62
-0.94, -0.14, -0.60
-0.92, 0.10, -0.58
-0.87, 0.34, -0.56
-0.78, 0.55, -0.50
-0.63, 0.73, -0.40
-0.44, 0.87, -0.24
-0.23, 0.97, -0.05
0.00, 1.00, 0.01
0.23, 0.97, -0.07
0.42, 0.87, -0.25
0.60, 0.73, -0.40
0.74, 0.55, -0.49
0.84, 0.33, -0.53
0.89, 0.09, -0.55
0.91, -0.15, -0.57
0.93, -0.39, -0.61
-0.79, -0.64, -0.18
-0.67, -0.76, -0.09
-0.49, -0.80, -0.01
-0.31, -0.79, 0.09
-0.15, -0.74, 0.16
0.16, -0.74, 0.16
0.33, -0.80, 0.09
0.50, -0.81, 0.01
0.66, -0.77, -0.07
0.78, -0.65, -0.15
0.01, -0.55, 0.17
0.01, -0.40, 0.27
0.01, -0.26, 0.38
0.02, -0.11, 0.48
-0.19, 0.03, 0.26
-0.09, 0.06, 0.31
0.01, 0.09, 0.34
0.11, 0.06, 0.31
0.20, 0.03, 0.27
-0.60, -0.49, -0.09
-0.49, -0.55, -0.04
-0.36, -0.55, -0.02
-0.25, -0.48, 0.00
-0.37, -0.46, 0.00
-0.49, -0.45, -0.02
0.25, -0.48, 0.01
0.36, -0.56, -0.00
0.49, -0.56, -0.02
0.59, -0.49, -0.06
0.50, -0.46, -0.00
0.37, -0.46, 0.02
-0.38, 0.37, 0.03
-0.23, 0.29, 0.21
-0.09, 0.25, 0.29
0.00, 0.27, 0.31
0.11, 0.25, 0.29
0.25, 0.29, 0.20
0.37, 0.36, 0.04
0.25, 0.47, 0.19
0.12, 0.51, 0.29
0.00, 0.52, 0.31
-0.10, 0.52, 0.29
-0.24, 0.48, 0.20
-0.32, 0.37, 0.06
-0.09, 0.33, 0.27
0.00, 0.34, 0.29
0.11, 0.33, 0.27
0.32, 0.37, 0.07
0.11, 0.40, 0.27
0.00, 0.41, 0.28
-0.09, 0.40, 0.26
